,AHN,AIRPORT,,AHN
,AHO,AIRPORT,,AHO
,AHS,AIRPORT,,AHS
,AHT,AIRPORT,,AHT
,AHU,AIRPORT,,AHU
,AHW,AIRPORT,,AHW
,AHY,AIRPORT,,AHY
,AHZ,AIRPORT,,AHZ
,AIA,AIRPORT,,AIA
,AIB,AIRPORT,,AIB
,AIC,AIRPORT,,AIC
,AID,AIRPORT,,AID
,AIE,AIRPORT,,AIE
,AIF,AIRPORT,,AIF
,AIG,AIRPORT,,AIG
,AIH,AIRPORT,,AIH
,AII,AIRPORT,,AII
,AIK,AIRPORT,,AIK
,AIL,AIRPORT,,AIL
,AIM,AIRPORT,,AIM
,AIN,AIRPORT,,AIN
,AIO,AIRPORT,,AIO
,AIP,AIRPORT,,AIP
,AIR,AIRPORT,,AIR
,AIS,AIRPORT,,AIS
,AIT,AIRPORT,,AIT
,AIU,AIRPORT,,AIU
,AIV,AIRPORT,,AIV
,AIW,AIRPORT,,AIW
,AIY,AIRPORT,,AIY
,AIZ,AIRPORT,,AIZ
,AJA,AIRPORT,,AJA
,AJF,AIRPORT,,AJF
,AJI,AIRPORT,,AJI
,AJJ,AIRPORT,,AJJ
,AJK,AIRPORT,,AJK
,AJL,AIRPORT,,AJL
,AJN,AIRPORT,,AJN
,AJR,AIRPORT,,AJR
,AJS,AIRPORT,,AJS
,AJU,AIRPORT,,AJU
,AJY,AIRPORT,,AJY
,AKA,AIRPORT,,AKA
,AKB,AIRPORT,,AKB
,AKC,AIRPORT,,CAK
,AKD,AIRPORT,,AKD
,AKE,AIRPORT,,AKE
,AKF,AIRPORT,,AKF
,AKG,AIRPORT,,AKG
,AKH,AIRPORT,,AKH
,AKI,AIRPORT,,AKI
,AKJ,AIRPORT,,AKJ
,AKK,AIRPORT,,AKK
,AKL,AIRPORT,,AKL
,AKM,AIRPORT,,AKM
,AKN,AIRPORT,,AKN
,AKO,AIRPORT,,AKO
,AKP,AIRPORT,,AKP
,AKQ,AIRPORT,,AKQ
,AKR,AIRPORT,,AKR
,AKS,AIRPORT,,AKS
,AKT,AIRPORT,,AKT
,AKU,AIRPORT,,AKU
,AKV,AIRPORT,,AKV
,AKW,AIRPORT,,AKW
,AKX,AIRPORT,,AKX
,AKY,AIRPORT,,AKY
,ALA,AIRPORT,,ALA
,ALB,AIRPORT,,ALB
,ALC,AIRPORT,,ALC
,ALD,AIRPORT,,ALD
,ALE,AIRPORT,,ALE
,ALF,AIRPORT,,ALF
,ALG,AIRPORT,,ALG
,ALH,AIRPORT,,ALH
,ALI,AIRPORT,,ALI
,ALJ,AIRPORT,,ALJ
,ALK,AIRPORT,,ALK
,ALL,AIRPORT,,ALL
,ALM,AIRPORT,,ALM
,ALN,AIRPORT,,ALN
,ALO,AIRPORT,,ALO
,ALP,AIRPORT,,ALP
,ALQ,AIRPORT,,ALQ
,ALR,AIRPORT,,ALR
,ALS,AIRPORT,,ALS
,ALT,AIRPORT,,ALT
,ALU,AIRPORT,,ALU
,ALW,AIRPORT,,ALW
,ALX,AIRPORT,,ALX
,ALY,AIRPORT,,ALY
,ALZ,AIRPORT,,ALZ
,AMA,AIRPORT,,AMA
,AMB,AIRPORT,,AMB
,AMC,AIRPORT,,AMC
,AMD,AIRPORT,,AMD
,AME,AIRPORT,,AME
,AMF,AIRPORT,,AMF
,AMG,AIRPORT,,AMG
,AMH,AIRPORT,,AMH
,AMI,AIRPORT,,AMI
,AMJ,AIRPORT,,AMJ
,AMK,AIRPORT,,DRO
,AML,AIRPORT,,AML
,AMM,AIRPORT,,AMM
,AMN,AIRPORT,,AMN
,AMO,AIRPORT,,AMO
,AMP,AIRPORT,,AMP
,AMQ,AIRPORT,,AMQ
,AMR,AIRPORT,,AMR
,AMS,AIRPORT,,AMS
,AMT,AIRPORT,,AMT
,AMU,AIRPORT,,AMU
,AMV,AIRPORT,,AMV
,AMW,AIRPORT,,AMW
,AMX,AIRPORT,,AMX
,AMY,AIRPORT,,AMY
,AMZ,AIRPORT,,AMZ
,ANA,AIRPORT,,ANA
,ANB,AIRPORT,,ANB
,ANC,AIRPORT,,ANC
,AND,AIRPORT,,AND
,ANE,AIRPORT,,ANE
,ANF,AIRPORT,,ANF
,ANG,AIRPORT,,ANG
,ANH,AIRPORT,,ANH
,ANI,AIRPORT,,ANI
,ANJ,AIRPORT,,ANJ
,ANK,AIRPORT,,ANK
,ANL,AIRPORT,,ANL
,ANM,AIRPORT,,ANM
,ANN,AIRPORT,,ANN
,ANO,AIRPORT,,ANO
,ANP,AIRPORT,,ANP
,ANQ,AIRPORT,,ANQ
,ANR,AIRPORT,,ANR
,ANS,AIRPORT,,ANS
,ANT,AIRPORT,,ANT
,ANU,AIRPORT,,ANU
,ANV,AIRPORT,,ANV
,ANW,AIRPORT,,ANW
,ANX,AIRPORT,,ANX
,ANY,AIRPORT,,ANY
,ANZ,AIRPORT,,ANZ
,AOA,AIRPORT,,AOA
,AOB,AIRPORT,,AOB
,AOC,AIRPORT,,AOC
,AOD,AIRPORT,,AOD
,AOE,AIRPORT,,ESK
,AOG,AIRPORT,,AOG
,AOH,AIRPORT,,AOH
,AOI,AIRPORT,,AOI
,AOJ,AIRPORT,,AOJ
,AOK,AIRPORT,,AOK
,AOL,AIRPORT,,AOL
,AOM,AIRPORT,,AOM
,AON,AIRPORT,,AON
,AOO,AIRPORT,,AOO
,AOP,AIRPORT,,AOP
,AOR,AIRPORT,,AOR
,AOS,AIRPORT,,AOS
,AOT,AIRPORT,,AOT
,AOU,AIRPORT,,AOU
,APA,AIRPORT,,DEN
,APB,AIRPORT,,APB
